"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group"
"6144","Fekola","TTD26","D9","D9G","-1","AK400679","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6644","Fekola","WEX01","M320","M320D2","-1","CH900530","12/30/2018 4:00:00 PM","WHEELED EXCAVATOR","CAT","WHEELED EXCAVATOR"
"3982","Fekola","BD003","MD6240","MD6240","-1","DT400103","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"3983","Fekola","BD004","MD6240","MD6240","-1","DT400104","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"3984","Fekola","BD005","MD6240","MD6240","-1","DT400107","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"3985","Fekola","BD006","MD6240","MD6240","-1","DT400108","12/31/2018 4:00:00 PM","EXPANDED MINING PRODUCTS","CAT","EXPANDED MINING PRODUCTS"
"3986","Fekola","BD008","MD6250","MD6250","-1","DN700107","12/31/2018 4:00:00 PM","DRILL","CAT","DRILL"
"3987","Fekola","BD010","MD6250","MD6250","-1","DN700144","12/31/2018 4:00:00 PM","DRILL","CAT","DRILL"
"3988","Fekola","BD011","MD6250","MD6250","-1","DN700145","12/31/2018 4:00:00 PM","DRILL","CAT","DRILL"
"3989","Fekola","BD012","MD6250","MD6250","-1","DN700147","12/31/2018 4:00:00 PM","DRILL","CAT","DRILL"
"3990","Fekola","BD013","MD6250","MD6250","-1","DN700149","12/31/2018 4:00:00 PM","DRILL","CAT","DRILL"
"4458","Fekola","TH001","TH414","TH514C","-1","KKW00197","12/31/2018 4:00:00 PM","TELEHANDLER","CAT","TELEHANDLER"
"4457","Fekola","TH002","TH414","TH414C","-1","RWW00171","12/31/2018 4:00:00 PM","TELEHANDLER","CAT","TELEHANDLER"
"4459","Fekola","TH003","TH414","TH514C","-1","KKW00246","12/31/2018 4:00:00 PM","TELEHANDLER","CAT","TELEHANDLER"
"4460","Fekola","TH004","TH414","TH514C","-1","KKW00247","12/31/2018 4:00:00 PM","TELEHANDLER","CAT","TELEHANDLER"
"4461","Fekola","TH005","TH414","TH514C","-1","KKW00249","12/31/2018 4:00:00 PM","TELEHANDLER","CAT","TELEHANDLER"
"4462","Fekola","TH006","TH414","TH514C","-1","KKW00254","12/31/2018 4:00:00 PM","TELEHANDLER","CAT","TELEHANDLER"
"4463","Fekola","TH007","TH414","TH514C","-1","KKW00255","12/31/2018 4:00:00 PM","TELEHANDLER","CAT","TELEHANDLER"
"4464","Fekola","TH008","TH414","TH514C","-1","KKW00256","12/31/2018 4:00:00 PM","TELEHANDLER","CAT","TELEHANDLER"
"4454","Fekola","TH009","TH414","TH414","-1","TBZ00604","12/31/2018 4:00:00 PM","TELEHANDLER","CAT","TELEHANDLER"
"3991","Fekola","TH011","TH414","TH414","-1","TBZ00798","12/31/2018 4:00:00 PM","TELEHANDLER","CAT","TELEHANDLER"
"3992","Fekola","TH014","TH414","TH414","-1","TBZ00730","12/31/2018 4:00:00 PM","TELEHANDLER","CAT","TELEHANDLER"
