Equip ID;Minesite;Equipment;Equip Label;On Site Id;Equipment Type;Model;Status;SerialNumber;Commissioning Date;Parent Product Family;Brand;Product Group;Created Date
4079;Agbaou/Corica;DT111;DT111;;777;777E;0;KYD00103;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4080;Agbaou/Corica;DT112-1;DT112-1;;777;777E;0;KYD00104;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4081;Agbaou/Corica;DT113-1;DT113-1;;777;777E;0;KYD00105;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4082;Agbaou/Corica;DT114-1;DT114-1;;777;777E;0;KYD00106;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4083;Agbaou/Corica;DT115;DT115;;777;777E;0;KYD00107;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4084;Agbaou/Corica;DT116-1;DT116-1;;777;777E;0;KDP01611;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4085;Agbaou/Corica;DT117-1;DT117-1;;777;777E;0;KDP01645;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4086;Agbaou/Corica;DT118-1;DT118-1;;777;777E;0;KDP01646;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4087;Agbaou/Corica;DT119-1;DT119-1;;777;777E;0;KDP01647;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4088;Agbaou/Corica;DT120;DT120;;777;777E;0;KDP00134;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4089;Agbaou/Corica;DT131_;DT131_;;777;777E;0;KYD00270;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4090;Agbaou/Corica;DT132;DT132;;777;777E;0;KYD00292;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4091;Agbaou/Corica;DT133;DT133;;777;777E;0;KYD00293;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4098;Agbaou/Corica;WT031;WT031;;777;777F;0;JXP00255;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;15/09/2024
4099;Agbaou/Corica;LD050;LD050;;988;988H;0;BXY02972;12/31/2018 4:00:00 PM;WHEEL-TYPE LOADER;CAT;WHEEL-TYPE LOADER;15/09/2024
4100;Agbaou/Corica;LD074;LD074;;988;988K;0;L8X00385;12/31/2018 4:00:00 PM;WHEEL-TYPE LOADER;CAT;WHEEL-TYPE LOADER;15/09/2024
4106;Agbaou/Corica;DZ027;DZ027;;D9;D9R;0;WDM04237;12/31/2018 4:00:00 PM;TRACK-TYPE TRACTOR;CAT;TRACK-TYPE TRACTOR;15/09/2024
4107;Agbaou/Corica;DZ040;DZ040;;D9;D9R;0;WDM03621;12/31/2018 4:00:00 PM;TRACK-TYPE TRACTOR;CAT;TRACK-TYPE TRACTOR;15/09/2024
